2019-03-25 10:39:41.4398 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 1. |  | 

2019-03-25 10:40:36.6980 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 56. |  | 

2019-03-25 10:40:39.2642 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:70) | WARN | Wrong customerId has been request: 56 |  | 

2019-03-25 10:41:36.0273 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 56. |  | 

2019-03-25 10:41:41.9786 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:70) | WARN | Wrong customerId has been request: 56 |  | 

2019-03-25 10:43:41.5066 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 56. |  | 

2019-03-25 10:43:43.2557 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:70) | WARN | Wrong customerId has been request: 56 |  | 

2019-03-25 10:44:11.9523 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 56. |  | 

2019-03-25 10:44:15.0415 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:70) | WARN | Wrong customerId has been request: 56 |  | 

2019-03-25 10:45:46.5972 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:50) | INFO | Start getting customer with id 56. |  | 

2019-03-25 10:45:48.4143 | KSER-ой | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(E:\epam-lab\LoggingSample\LoggingSample\Controllers\CustomersController.cs:70) | WARN | Wrong customerId has been request: 56 |  | 

